fnid,geographic_unit_name,geographic_unit_full_name,unit_type,scenario,scenario_name,scale,classification_scale,projection_start,projection_end,reporting_date,year,month,quarter,period_days,is_lean_season,ipc_phase,pct_phase3,pct_phase4,pct_phase5,preference_rating,is_allowing_for_assistance
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-10-01,2017-01-31,2016-10-01,2016,10,4,122,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-10-01,2018-01-31,2017-10-01,2017,10,4,122,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-10-01,2018-01-31,2017-10-01,2017,10,4,122,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-02-01,2018-05-31,2018-02-01,2018,2,1,119,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-02-01,2018-05-31,2018-02-01,2018,2,1,119,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-06-01,2018-09-30,2018-06-01,2018,6,2,121,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-06-01,2018-09-30,2018-06-01,2018,6,2,121,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-12-01,2019-01-31,2018-12-01,2018,12,4,61,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-12-01,2019-01-31,2018-12-01,2018,12,4,61,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-02-01,2019-05-31,2019-02-01,2019,2,1,119,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-02-01,2019-05-31,2019-02-01,2019,2,1,119,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-03-01,2019-05-31,2019-03-01,2019,3,1,91,1,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-04-01,2019-05-31,2019-04-01,2019,4,2,60,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-05-01,2019-05-31,2019-05-01,2019,5,2,30,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-06-01,2019-09-30,2019-06-01,2019,6,2,121,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-06-01,2019-09-30,2019-06-01,2019,6,2,121,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-07-01,2019-09-30,2019-07-01,2019,7,3,91,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-08-01,2019-09-30,2019-08-01,2019,8,3,60,0,1,,,,85,False
MG2016C3010307,"Aloatra: rice, fishing, livestock rearing","Aloatra: rice, fishing, livestock rearing, Andilamena, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-09-01,2019-09-30,2019-09-01,2019,9,3,29,0,1,,,,85,False
MG2016C3010413,"Center-east: litchi, coffee, citrus","Center-east: litchi, coffee, citrus, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-03-01,2019-05-31,2019-03-01,2019,3,1,91,1,1,,,,85,False
MG2016C3010413,"Center-east: litchi, coffee, citrus","Center-east: litchi, coffee, citrus, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-04-01,2019-05-31,2019-04-01,2019,4,2,60,0,1,,,,85,False
MG2016C3010413,"Center-east: litchi, coffee, citrus","Center-east: litchi, coffee, citrus, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-05-01,2019-05-31,2019-05-01,2019,5,2,30,0,1,,,,85,False
MG2016C3010413,"Center-east: litchi, coffee, citrus","Center-east: litchi, coffee, citrus, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-07-01,2019-09-30,2019-07-01,2019,7,3,91,0,1,,,,85,False
MG2016C3010413,"Center-east: litchi, coffee, citrus","Center-east: litchi, coffee, citrus, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-08-01,2019-09-30,2019-08-01,2019,8,3,60,0,1,,,,85,False
MG2016C3010413,"Center-east: litchi, coffee, citrus","Center-east: litchi, coffee, citrus, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-09-01,2019-09-30,2019-09-01,2019,9,3,29,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-02-01,2016-05-31,2016-02-01,2016,2,1,120,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-02-01,2016-05-31,2016-02-01,2016,2,1,120,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-06-01,2016-09-30,2016-06-01,2016,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-06-01,2016-09-30,2016-06-01,2016,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-10-01,2017-01-31,2016-10-01,2016,10,4,122,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-10-01,2017-01-31,2016-10-01,2016,10,4,122,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-10-01,2018-01-31,2017-10-01,2017,10,4,122,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-10-01,2018-01-31,2017-10-01,2017,10,4,122,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-02-01,2018-05-31,2018-02-01,2018,2,1,119,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-02-01,2018-05-31,2018-02-01,2018,2,1,119,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-06-01,2018-09-30,2018-06-01,2018,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-06-01,2018-09-30,2018-06-01,2018,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-12-01,2019-01-31,2018-12-01,2018,12,4,61,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-12-01,2019-01-31,2018-12-01,2018,12,4,61,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-02-01,2019-05-31,2019-02-01,2019,2,1,119,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-02-01,2019-05-31,2019-02-01,2019,2,1,119,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-03-01,2019-05-31,2019-03-01,2019,3,1,91,1,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-04-01,2019-05-31,2019-04-01,2019,4,2,60,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-05-01,2019-05-31,2019-05-01,2019,5,2,30,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-06-01,2019-09-30,2019-06-01,2019,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-06-01,2019-09-30,2019-06-01,2019,6,2,121,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-07-01,2019-09-30,2019-07-01,2019,7,3,91,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-08-01,2019-09-30,2019-08-01,2019,8,3,60,0,1,,,,85,False
MG2016C3010418,"Corridor: forest products, banana","Corridor: forest products, banana, Anosibe-An'ala, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-09-01,2019-09-30,2019-09-01,2019,9,3,29,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-02-01,2016-05-31,2016-02-01,2016,2,1,120,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-06-01,2016-09-30,2016-06-01,2016,6,2,121,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-10-01,2017-01-31,2016-10-01,2016,10,4,122,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-10-01,2018-01-31,2017-10-01,2017,10,4,122,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-02-01,2018-05-31,2018-02-01,2018,2,1,119,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-06-01,2018-09-30,2018-06-01,2018,6,2,121,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2018-12-01,2019-01-31,2018-12-01,2018,12,4,61,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-02-01,2019-05-31,2019-02-01,2019,2,1,119,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-03-01,2019-05-31,2019-03-01,2019,3,1,91,1,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-04-01,2019-05-31,2019-04-01,2019,4,2,60,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-05-01,2019-05-31,2019-05-01,2019,5,2,30,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-06-01,2019-09-30,2019-06-01,2019,6,2,121,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-07-01,2019-09-30,2019-07-01,2019,7,3,91,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-08-01,2019-09-30,2019-08-01,2019,8,3,60,0,1,,,,85,False
MG2016C3010512,"Moramanga: forest, petty trade, market gardening","Moramanga: forest, petty trade, market gardening, Moramanga, Alaotra-Mangoro, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC3,IPC 3.0,2019-09-01,2019-09-30,2019-09-01,2019,9,3,29,0,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-02-01,2016-05-31,2016-02-01,2016,2,1,120,1,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-02-01,2016-05-31,2016-02-01,2016,2,1,120,1,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-06-01,2016-09-30,2016-06-01,2016,6,2,121,0,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-06-01,2016-09-30,2016-06-01,2016,6,2,121,0,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-10-01,2017-01-31,2016-10-01,2016,10,4,122,1,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2016-10-01,2017-01-31,2016-10-01,2016,10,4,122,1,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-02-01,2017-05-31,2017-02-01,2017,2,1,119,1,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
MG2016C3020116,"South-central peneplain: rice, onion, small livestock","South-central peneplain: rice, onion, small livestock, Ambatofinandrahana, Amoron'i Mania, Madagascar",fsc_admin_lhz,ML1,Near Term Projection ,IPC2,IPC 2.0,2017-06-01,2017-09-30,2017-06-01,2017,6,2,121,0,1,,,,85,False
